# host=service load=0.05 rounds=8 secs=8 payload=128 clients=3 driver=epoll
# warmup
# (mode reactors conns total_req_s errs)
framed r1 12 142646 errs=0
framed r4 12 205587 errs=0
rpc r1 12 116842 errs=0
rpc r4 12 132257 errs=0
framed r1 12 145364 errs=0
framed r4 12 182095 errs=0
rpc r1 12 118084 errs=0
rpc r4 12 127161 errs=0
framed r1 12 142958 errs=0
framed r4 12 210914 errs=0
rpc r1 12 118561 errs=0
rpc r4 12 134812 errs=0
framed r1 12 139622 errs=0
framed r4 12 186829 errs=0
rpc r1 12 95712 errs=0
rpc r4 12 127708 errs=0
framed r1 12 145965 errs=0
framed r4 12 187898 errs=0
rpc r1 12 94021 errs=0
rpc r4 12 118450 errs=0
framed r1 12 112165 errs=0
framed r4 12 165861 errs=0
rpc r1 12 100971 errs=0
rpc r4 12 117050 errs=0
framed r1 12 115415 errs=0
framed r4 12 204319 errs=0
rpc r1 12 117320 errs=0
rpc r4 12 129466 errs=0
framed r1 12 140918 errs=0
framed r4 12 207047 errs=0
rpc r1 12 118282 errs=0
rpc r4 12 129049 errs=0
framed r1 48 148727 errs=0
framed r4 48 248880 errs=0
rpc r1 48 126578 errs=0
rpc r4 48 153743 errs=0
framed r1 48 148018 errs=0
framed r4 48 246359 errs=0
rpc r1 48 100849 errs=0
rpc r4 48 149805 errs=0
framed r1 48 145326 errs=0
framed r4 48 198805 errs=0
rpc r1 48 126122 errs=0
rpc r4 48 147151 errs=0
framed r1 48 139446 errs=0
framed r4 48 249320 errs=0
rpc r1 48 123620 errs=0
rpc r4 48 145057 errs=0
framed r1 48 105278 errs=0
framed r4 48 209332 errs=0
rpc r1 48 115658 errs=0
rpc r4 48 133913 errs=0
framed r1 48 126652 errs=0
framed r4 48 209534 errs=0
rpc r1 48 105049 errs=0
rpc r4 48 150911 errs=0
framed r1 48 114647 errs=0
framed r4 48 209083 errs=0
rpc r1 48 130403 errs=0
rpc r4 48 154036 errs=0
framed r1 48 122297 errs=0
framed r4 48 208338 errs=0
rpc r1 48 117129 errs=0
rpc r4 48 144743 errs=0
# done
